期号,日期,红球,蓝球,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,red_sum,red_span,red_odd_count,red_even_count,blue_sum,blue_span,blue_odd_count,blue_even_count,red_zone1_count,red_zone2_count,red_zone3_count,blue_big_count,blue_small_count
8046,2008-04-23,"11,25,26,27,35","07,08",11,25,26,27,35,7,8,124,24,4,1,15,1,1,1,1,0,4,2,0
8047,2008-04-26,"12,18,22,23,30","06,12",12,18,22,23,30,6,12,105,18,1,4,18,6,0,2,1,3,1,1,1
8048,2008-04-28,"01,13,22,25,27","02,10",1,13,22,25,27,2,10,88,26,4,1,12,8,0,2,1,2,2,1,1
8049,2008-04-30,"01,11,14,28,30","03,10",1,11,14,28,30,3,10,84,29,2,3,13,7,1,1,2,1,2,1,1
8050,2008-05-03,"01,05,11,26,27","03,07",1,5,11,26,27,3,7,70,26,4,1,10,4,2,0,3,0,2,1,1
8051,2008-05-05,"01,07,09,11,33","03,11",1,7,9,11,33,3,11,61,32,5,0,14,8,2,0,4,0,1,1,1
8052,2008-05-07,"03,18,19,30,35","05,09",3,18,19,30,35,5,9,105,32,3,2,14,4,2,0,1,2,2,1,1
8053,2008-05-10,"01,13,21,23,32","03,06",1,13,21,23,32,3,6,90,31,4,1,9,3,1,1,1,3,1,0,2
8054,2008-05-12,"05,14,23,31,35","02,06",5,14,23,31,35,2,6,108,30,4,1,8,4,0,2,1,2,2,0,2
8055,2008-05-14,"02,14,28,30,35","04,12",2,14,28,30,35,4,12,109,33,1,4,16,8,0,2,1,1,3,1,1
8056,2008-05-17,"15,19,25,30,31","03,09",15,19,25,30,31,3,9,120,16,4,1,12,6,2,0,0,2,3,1,1
8057,2008-05-19,"05,08,09,17,33","05,06",5,8,9,17,33,5,6,72,28,4,1,11,1,1,1,3,1,1,0,2
8058,2008-05-21,"03,09,11,29,33","03,12",3,9,11,29,33,3,12,85,30,5,0,15,9,1,1,3,0,2,1,1
8059,2008-05-24,"07,13,21,25,31","08,10",7,13,21,25,31,8,10,97,24,5,0,18,2,0,2,1,2,2,2,0
8060,2008-05-26,"03,13,17,23,30","01,11",3,13,17,23,30,1,11,86,27,4,1,12,10,2,0,1,3,1,1,1
8061,2008-05-28,"07,10,14,19,32","03,06",7,10,14,19,32,3,6,82,25,2,3,9,3,1,1,2,2,1,0,2
8062,2008-05-31,"01,15,27,28,29","03,10",1,15,27,28,29,3,10,100,28,4,1,13,7,1,1,1,1,3,1,1
8063,2008-06-02,"07,11,24,30,35","06,08",7,11,24,30,35,6,8,107,28,3,2,14,2,0,2,2,1,2,1,1
8064,2008-06-04,"14,18,24,27,31","06,07",14,18,24,27,31,6,7,114,17,2,3,13,1,1,1,0,3,2,1,1
8065,2008-06-07,"19,22,23,25,32","06,12",19,22,23,25,32,6,12,121,13,3,2,18,6,0,2,0,3,2,1,1
8066,2008-06-09,"02,07,21,22,25","04,12",2,7,21,22,25,4,12,77,23,3,2,16,8,0,2,2,2,1,1,1
8067,2008-06-11,"03,10,14,15,22","04,07",3,10,14,15,22,4,7,64,19,2,3,11,3,1,1,2,3,0,1,1
8068,2008-06-14,"06,09,11,33,34","06,10",6,9,11,33,34,6,10,93,28,3,2,16,4,0,2,3,0,2,1,1
8069,2008-06-16,"05,13,16,29,33","06,08",5,13,16,29,33,6,8,96,28,4,1,14,2,0,2,1,2,2,1,1
8070,2008-06-18,"09,17,18,21,31","01,05",9,17,18,21,31,1,5,96,22,4,1,6,4,2,0,1,3,1,0,2
8071,2008-06-21,"01,05,11,14,25","01,09",1,5,11,14,25,1,9,56,24,4,1,10,8,2,0,3,1,1,1,1
8072,2008-06-23,"10,25,32,33,34","03,09",10,25,32,33,34,3,9,134,24,2,3,12,6,2,0,1,0,4,1,1
8073,2008-06-25,"02,05,06,07,31","08,10",2,5,6,7,31,8,10,51,29,3,2,18,2,0,2,4,0,1,2,0
8074,2008-06-28,"10,13,22,31,35","04,12",10,13,22,31,35,4,12,111,25,3,2,16,8,0,2,1,2,2,1,1
8075,2008-06-30,"01,10,13,30,33","06,07",1,10,13,30,33,6,7,87,32,3,2,13,1,1,1,2,1,2,1,1
8076,2008-07-02,"03,05,10,27,34","01,12",3,5,10,27,34,1,12,79,31,3,2,13,11,1,1,3,0,2,1,1
8077,2008-07-05,"01,08,21,33,34","05,07",1,8,21,33,34,5,7,97,33,3,2,12,2,2,0,2,1,2,1,1
8078,2008-07-07,"08,17,20,28,31","07,11",8,17,20,28,31,7,11,104,23,2,3,18,4,2,0,1,2,2,2,0
8079,2008-07-09,"20,23,26,32,33","05,12",20,23,26,32,33,5,12,134,13,2,3,17,7,1,1,0,2,3,1,1
8080,2008-07-12,"06,09,29,31,33","05,11",6,9,29,31,33,5,11,108,27,4,1,16,6,2,0,2,0,3,1,1
8081,2008-07-14,"07,08,20,22,29","04,07",7,8,20,22,29,4,7,86,22,2,3,11,3,1,1,2,2,1,1,1
8082,2008-07-16,"15,19,29,33,35","01,02",15,19,29,33,35,1,2,131,20,5,0,3,1,1,1,0,2,3,0,2
8083,2008-07-19,"06,14,15,30,31","03,10",6,14,15,30,31,3,10,96,25,2,3,13,7,1,1,1,2,2,1,1
8084,2008-07-21,"02,17,20,22,25","05,11",2,17,20,22,25,5,11,86,23,2,3,16,6,2,0,1,3,1,1,1
8085,2008-07-23,"03,07,13,15,19","02,10",3,7,13,15,19,2,10,57,16,5,0,12,8,0,2,2,3,0,1,1
8086,2008-07-26,"01,06,10,22,35","03,07",1,6,10,22,35,3,7,74,34,2,3,10,4,2,0,3,1,1,1,1
8087,2008-07-28,"14,22,32,33,35","01,05",14,22,32,33,35,1,5,136,21,2,3,6,4,2,0,0,2,3,0,2
8088,2008-07-30,"07,11,19,27,31","02,03",7,11,19,27,31,2,3,95,24,5,0,5,1,1,1,2,1,2,0,2
8089,2008-08-02,"08,13,24,32,33","03,09",8,13,24,32,33,3,9,110,25,2,3,12,6,2,0,1,2,2,1,1
8090,2008-08-04,"04,11,18,33,34","02,06",4,11,18,33,34,2,6,100,30,2,3,8,4,0,2,2,1,2,0,2
8091,2008-08-06,"09,13,19,22,25","04,10",9,13,19,22,25,4,10,88,16,4,1,14,6,0,2,1,3,1,1,1
8092,2008-08-09,"03,23,26,32,34","04,09",3,23,26,32,34,4,9,118,31,2,3,13,5,1,1,1,1,3,1,1
8093,2008-08-11,"06,07,10,24,30","05,08",6,7,10,24,30,5,8,77,24,1,4,13,3,1,1,3,1,1,1,1
8094,2008-08-13,"07,12,19,27,34","11,12",7,12,19,27,34,11,12,99,27,3,2,23,1,1,1,2,1,2,2,0
8095,2008-08-16,"03,04,11,21,25","01,07",3,4,11,21,25,1,7,64,22,4,1,8,6,2,0,3,1,1,1,1
8096,2008-08-18,"06,07,12,25,28","02,12",6,7,12,25,28,2,12,78,22,2,3,14,10,0,2,3,0,2,1,1
8097,2008-08-20,"01,10,31,33,35","03,10",1,10,31,33,35,3,10,110,34,4,1,13,7,1,1,2,0,3,1,1
8098,2008-08-23,"07,10,22,27,33","04,08",7,10,22,27,33,4,8,99,26,3,2,12,4,0,2,2,1,2,1,1
8099,2008-08-25,"03,18,23,25,30","06,10",3,18,23,25,30,6,10,99,27,3,2,16,4,0,2,1,2,2,1,1
8100,2008-08-27,"12,20,26,29,30","02,06",12,20,26,29,30,2,6,117,18,1,4,8,4,0,2,1,1,3,0,2
8101,2008-08-30,"10,13,23,31,33","04,11",10,13,23,31,33,4,11,110,23,4,1,15,7,1,1,1,2,2,1,1
8102,2008-09-01,"05,25,26,29,35","03,10",5,25,26,29,35,3,10,120,30,4,1,13,7,1,1,1,0,4,1,1
8103,2008-09-03,"02,11,22,30,34","04,09",2,11,22,30,34,4,9,99,32,1,4,13,5,1,1,2,1,2,1,1
8104,2008-09-06,"07,08,10,24,34","08,11",7,8,10,24,34,8,11,83,27,1,4,19,3,1,1,3,1,1,2,0
8105,2008-09-08,"12,21,22,26,35","04,05",12,21,22,26,35,4,5,116,23,2,3,9,1,1,1,1,2,2,0,2
8106,2008-09-10,"03,05,21,28,33","02,06",3,5,21,28,33,2,6,90,30,4,1,8,4,0,2,2,1,2,0,2
8107,2008-09-13,"01,02,13,15,16","04,09",1,2,13,15,16,4,9,47,15,3,2,13,5,1,1,2,3,0,1,1
8108,2008-09-15,"11,16,24,29,32","09,11",11,16,24,29,32,9,11,112,21,2,3,20,2,2,0,1,2,2,2,0
8109,2008-09-17,"01,10,18,28,34","05,08",1,10,18,28,34,5,8,91,33,1,4,13,3,1,1,2,1,2,1,1
8110,2008-09-20,"05,16,25,27,33","04,09",5,16,25,27,33,4,9,106,28,4,1,13,5,1,1,1,1,3,1,1
8111,2008-09-22,"02,11,12,14,19","05,09",2,11,12,14,19,5,9,58,17,2,3,14,4,2,0,3,2,0,1,1
8112,2008-09-24,"04,18,26,32,33","05,08",4,18,26,32,33,5,8,113,29,1,4,13,3,1,1,1,1,3,1,1
8113,2008-09-27,"11,14,17,19,22","01,08",11,14,17,19,22,1,8,83,11,3,2,9,7,1,1,1,4,0,1,1
8114,2008-09-29,"02,03,22,27,31","06,07",2,3,22,27,31,6,7,85,29,3,2,13,1,1,1,2,1,2,1,1
8115,2008-10-01,"07,09,19,21,33","07,10",7,9,19,21,33,7,10,89,26,5,0,17,3,1,1,2,2,1,2,0
8116,2008-10-04,"06,08,15,24,31","01,03",6,8,15,24,31,1,3,84,25,2,3,4,2,2,0,2,2,1,0,2
8117,2008-10-06,"13,23,24,25,30","02,08",13,23,24,25,30,2,8,115,17,3,2,10,6,0,2,0,3,2,1,1
8118,2008-10-08,"06,09,19,25,30","06,12",6,9,19,25,30,6,12,89,24,3,2,18,6,0,2,2,1,2,1,1
